name,id,latitude,longitude,elevation
ANCHORAGE BIRCHWOOD,702746.0,61.416,-149.507,95.0
ANCHORAGE BRYANT AAF,702700.0,61.266,-149.653,387.0
ANCHORAGE ELMENDORF AFB,702720.0,61.253,-149.794,213.0
ANCHORAGE HARBOR,997381.0,61.238,-149.89,10.0
ANCHORAGE INTL,702730.0,61.157,-149.986,144.0
ANCHORAGE LAKE HOOD,702725.0,61.178,-149.966,89.0
ANCHORAGE MERRILL FIELD,702735.0,61.217,-149.855,138.0
ANGOON,703830.0,57.499,-134.586,30.0
ANIAK,702320.0,61.582,-159.543,85.0
ANNETTE ISLAND,703980.0,55.039,-131.579,108.0
ANVIK,702075.0,62.65,-160.183,89.0
ARCTIC VILLAGE,701945.0,68.115,-145.579,2093.0
ATKA,700631.0,52.22,-174.206,56.0
ATQASUK,702685.0,70.467,-157.436,95.0
AUGUSTINE ISLAND,994700.0,59.378,-153.348,30.0
BETHEL,702190.0,60.785,-161.829,102.0
BETTLES,701740.0,66.917,-151.515,633.0
BLIGH REEF LIGHT,994680.0,60.839,-146.884,0.0
CAPE DECISION,703880.0,56.0,-134.133,49.0
CAPE LISBURNE,701040.0,68.875,-166.113,16.0
CAPE NEWENHAM,703050.0,58.65,-162.067,541.0
CAPE ROMANZOF,702120.0,61.783,-166.033,479.0
CAPE SPENCER,997804.0,58.199,-136.64,85.0
CAPE SUCKLING BUOY 46082,997204.0,59.681,-143.372,0.0
CHIGNIK,703333.0,56.311,-158.373,20.0
COLD BAY,703160.0,55.221,-162.732,79.0
CORDOVA,702960.0,60.492,-145.476,33.0
DEERING,701333.0,66.069,-162.764,20.0
DILLINGHAM,703210.0,59.05,-158.517,85.0
DRIFT RIVER TERMINAL,994690.0,60.554,-152.136,52.0
DUTCH HARBOR,704890.0,53.895,-166.543,10.0
EAGLE,701975.0,64.777,-141.148,909.0
EAST AMATULI STATION LIGHT,994081.0,58.915,-151.952,108.0
EGEGIK,703334.0,58.185,-157.386,92.0
EIELSON AFB,702650.0,64.683,-147.083,548.0
ELDRED ROCK,997789.0,58.971,-135.22,62.0
EMMONAK,702084.0,62.785,-164.491,13.0
EUREKA ROADHOUSE,702715.0,61.939,-147.167,3291.0
FAIRBANKS,702610.0,64.804,-147.876,433.0
FAIRBANKS 11 NE,702630.0,64.974,-147.51,1142.0
FIVE FINGER LIGHT,994080.0,57.27,-133.631,23.0
FLAT ISLAND LIGHT,994720.0,59.332,-151.995,59.0
FORT YUKON,701940.0,66.567,-145.267,446.0
GALENA,702220.0,64.737,-156.934,154.0
GAMBELL,702040.0,63.767,-171.733,30.0
GOLOVIN,701995.0,64.55,-163.007,26.0
GULKANA,702710.0,62.159,-145.459,1562.0
GUSTAVUS,703670.0,58.425,-135.707,39.0
HAINES,703626.0,59.243,-135.509,16.0
HOLY CROSS,703051.0,62.183,-159.767,20.0
HOMER,703410.0,59.642,-151.491,66.0
HOONAH,702607.0,58.096,-135.409,0.0
HOOPER BAY,702186.0,61.524,-166.147,20.0
HUSLIA,703655.0,65.698,-156.351,180.0
HYDABURG,703884.0,55.206,-132.828,0.0
IGIUGIG,703061.0,59.324,-155.902,89.0
ILIAMNA,703400.0,59.749,-154.909,144.0
INDIAN MOUNTAIN,701730.0,66.0,-153.7,1276.0
JUNEAU,703810.0,58.357,-134.564,16.0
KAKE,703855.0,56.961,-133.91,171.0
KAKTOVIK,700860.0,70.134,-143.577,3.0
KALTAG,702006.0,64.327,-158.742,180.0
KENAI,702590.0,60.58,-151.239,92.0
KENAI 29 ENE,703420.0,60.724,-150.448,282.0
KETCHIKAN,703950.0,55.357,-131.712,79.0
KIANA,701196.0,66.976,-160.437,167.0
KING COVE,703059.0,55.116,-162.27,154.0
KING SALMON,703260.0,58.683,-156.656,66.0
KIVALINA,701486.0,67.732,-164.548,10.0
KLAWOCK,703894.0,55.58,-133.075,13.0
KODIAK,703500.0,57.751,-152.486,79.0
KOTZEBUE,701330.0,66.886,-162.613,30.0
KOYUK,702223.0,64.935,-161.155,112.0
MANOKOTAK,703055.0,58.99,-159.05,52.0
MARSHALL,702628.0,61.867,-162.033,102.0
MCGRATH,702310.0,62.957,-155.61,335.0
MCKINLEY NATL PARK,702645.0,63.733,-148.917,1719.0
MEKORYUK,702185.0,60.372,-166.272,46.0
METLAKATLA,703985.0,55.131,-131.578,0.0
MIDDLE ROCK LIGHT,994670.0,61.081,-146.653,0.0
MIDDLETON ISLAND,703430.0,59.433,-146.333,102.0
MINCHUMINA,702460.0,63.886,-152.302,679.0
MOUNTAIN VILLAGE,703056.0,62.095,-163.682,338.0
NELSON LAGOON,703058.0,56.01,-161.16,13.0
NENANA,702600.0,64.55,-149.072,361.0
NEW STUYAHOK,702697.0,59.45,-157.333,302.0
NIKISKI HARBOR,997382.0,60.683,-151.399,26.0
NIKOLAI,702625.0,63.017,-154.367,413.0
NOATAK,701335.0,67.566,-162.975,89.0
NOKOLSKI,998429.0,52.941,-168.871,16.0
NOME AP,702000.0,64.511,-165.44,13.0
NOME NORTON SOUND,997383.0,64.5,-165.42,26.0
NORTHWAY,702910.0,62.961,-141.929,1713.0
NUIQSUT,703644.0,70.212,-151.002,56.0
PALMER,702740.0,61.596,-149.092,230.0
PETERSBURG,703860.0,56.806,-132.937,108.0
PILOT POINT,702626.0,57.58,-157.58,56.0
POINT HOPE,701043.0,68.35,-166.8,13.0
POINT LAY,701210.0,69.733,-163.005,26.0
POINT RETREAT,997797.0,58.411,-134.955,105.0
PORT ALSWORTH 1 SW,703490.0,60.195,-154.32,322.0
PORT HEIDEN,703330.0,56.959,-158.632,89.0
PORTAGE GLACIER,700001.0,60.785,-148.841,102.0
POTATO POINT,994660.0,61.056,-146.698,23.0
PRUDHOE BAY DEADHORSE,700637.0,70.192,-148.477,62.0
PRUDHOE BAY HARBOR,997386.0,70.4,-148.527,16.0
RED DOG DOCK,997704.0,67.575,-164.067,10.0
RED DOG MINE 3 SSW,701220.0,68.028,-162.921,942.0
RUBY,702627.0,64.727,-155.47,653.0
RUSSIAN MISSION,703053.0,61.775,-161.319,52.0
SAND POINT,703165.0,55.319,-160.521,20.0
SAND POINT 1 ENE,703150.0,55.347,-160.466,240.0
SAVOONGA,702035.0,63.687,-170.493,56.0
SCAMMON BAY,703054.0,61.845,-165.571,13.0
SEAL ROCKS BUOY 46061,995160.0,60.238,-146.833,0.0
SELAWIK,700197.0,66.6,-159.986,26.0
SELDOVIA,703621.0,59.443,-151.702,30.0
SEWARD,702770.0,60.128,-149.417,23.0
SHEMYA ISLAND,704140.0,52.717,174.1,121.0
SHISHMAREF,701195.0,66.25,-166.089,7.0
SHUNGNAK,701719.0,66.888,-157.162,207.0
SITKA,703710.0,57.048,-135.365,13.0
SITKA 1 NE,703730.0,57.057,-135.327,79.0
SKAGWAY,703620.0,59.467,-135.3,20.0
SLEETMUTE,703407.0,61.717,-157.15,177.0
SOLDOTNA,702595.0,60.476,-151.034,112.0
SPARREVOHN,702350.0,61.1,-155.583,1588.0
ST GEORGE ISLAND,703835.0,56.6,-169.565,125.0
ST MARYS,702005.0,62.062,-163.3,312.0
ST MICHAEL,720382.0,63.49,-162.11,92.0
ST PAUL 4 NE,703090.0,57.157,-170.212,20.0
ST PAUL ISLAND,703080.0,57.155,-170.222,36.0
TALKEETNA,702510.0,62.32,-150.095,351.0
TANANA,701780.0,65.175,-152.107,223.0
TATALINA,702315.0,62.894,-155.976,965.0
TIN CITY,701170.0,65.563,-167.921,272.0
TOGIAK,703606.0,59.067,-160.367,20.0
UNALAKLEET,702070.0,63.883,-160.8,20.0
UTQIAGVIK,700260.0,71.283,-156.782,33.0
UTQIAGVIK NSA,700270.0,71.323,-156.616,26.0
VALDEZ AP,702756.0,61.132,-146.244,59.0
VALDEZ WSO,702750.0,61.13,-146.352,95.0
WAINWRIGHT,700300.0,70.639,-159.995,30.0
WASILLA,702325.0,61.572,-149.541,354.0
WEST ORCA BAY BUOY 46060,992850.0,60.587,-146.819,0.0
WHITTIER,702757.0,60.777,-148.719,39.0
WRANGELL,703870.0,56.483,-132.367,43.0
YAKUTAT,703610.0,59.512,-139.671,33.0
BISBEE DOUGLAS,722720.0,31.458,-109.606,4104.0
BUCKEYE,720644.0,33.417,-112.683,1020.0
CASA GRANDE,722748.0,32.95,-111.767,1463.0
DAVIS-MONTHAN AFB,722745.0,32.167,-110.883,2703.0
ELGIN 5 S,722760.0,31.591,-110.509,4810.0
FLAGSTAFF BELLEMONT,723760.0,35.217,-111.817,7159.0
FLAGSTAFF PULLIAM,723750.0,35.144,-111.666,7005.0
GRAND CANYON NATIONAL PARK,723783.0,35.946,-112.155,6608.0
KINGMAN,723700.0,35.258,-113.933,3419.0
LAUGHLIN BULLHEAD,723788.0,35.157,-114.559,696.0
LUKE AFB,722785.0,33.533,-112.383,1086.0
NOGALES,722728.0,31.421,-110.846,3934.0
PAGE,723710.0,36.926,-111.448,4311.0
PAYSON,723745.0,34.257,-111.339,5157.0
PHOENIX DEER VALLEY,722784.0,33.688,-112.082,1457.0
PHOENIX SKY HARBOR,722780.0,33.428,-112.004,1106.0
PRESCOTT,723723.0,34.652,-112.421,5043.0
SAFFORD,722747.0,32.855,-109.635,3176.0
SCOTTSDALE,722789.0,33.623,-111.911,1473.0
SEDONA,723756.0,34.85,-111.783,4826.0
SHOW LOW,723747.0,34.264,-110.008,6411.0
SIERRA VISTA,722730.0,31.588,-110.344,4718.0
SIERRA VISTA BLACK TOWER,722813.0,31.607,-110.428,4767.0
ST JOHNS,723754.0,34.518,-109.379,5732.0
TUCSON,722740.0,32.228,-110.956,2451.0
TUCSON 11 W,722750.0,32.239,-111.17,2733.0
WILLIAMS 35 NNW,722770.0,35.755,-112.337,5991.0
WINDOW ROCK,722764.0,35.658,-109.061,6739.0
WINSLOW,723740.0,35.028,-110.721,4885.0
YUMA,722800.0,32.65,-114.6,207.0
YUMA 27 ENE,722790.0,32.835,-114.188,620.0
